Account,date,classification,value,daily_pnl,total_trades,win_count,avg_trade_size,long_count,short_count,win_rate,ls_ratio,sentiment_group,segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Extreme Greed,76,0.0,177,0,5089.718248587571,0,177,0.0,0.0,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Extreme Greed,90,0.0,68,0,7976.664411764705,0,68,0.0,0.0,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Extreme Greed,83,0.0,40,0,23734.5,0,40,0.0,0.0,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Extreme Greed,94,-21227.0,12,0,28186.666666666668,12,0,0.0,10.0,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Extreme Greed,79,1603.1,27,12,17248.14814814815,12,15,0.4444444444444444,0.8,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Extreme Greed,77,-132271.0,82,0,16058.536341463414,82,0,0.0,10.0,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Extreme Greed,84,0.0,23,0,48561.68565217392,0,23,0.0,0.0,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,72,-175611.00005600002,33,0,36736.36242424243,33,0,0.0,10.0,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Extreme Greed,77,71393.964098,465,23,11410.954021505377,112,353,0.04946236559139785,0.31728045325779036,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Extreme Greed,76,40218.599998,51,28,9400.588039215687,28,23,0.5490196078431373,1.2173913043478262,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,60,76710.0,10,9,185847.0,9,1,0.9,9.0,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,44,101011.685664,839,256,23593.019856972587,350,489,0.30512514898688914,0.7157464212678937,Fear,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,72,375620.270243,531,83,10576.687156308852,111,420,0.15630885122410546,0.2642857142857143,Greed,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,54,44400.9058,210,78,26585.06338095238,78,132,0.37142857142857144,0.5909090909090909,Neutral,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,46,30897.0887,141,132,10161.056241134751,132,9,0.9361702127659575,14.666666666666666,Neutral,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,43,55086.0,48,16,32032.5,16,32,0.3333333333333333,0.5,Fear,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,Neutral,47,0.0,6,0,134600.00166666668,0,6,0.0,0.0,Neutral,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,49,10152.12224,59,31,27178.041694915253,31,28,0.5254237288135594,1.1071428571428572,Neutral,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,25,115445.395538,219,93,13233.776894977169,93,126,0.4246575342465753,0.7380952380952381,Fear,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,Extreme Fear,16,115287.0,55,1,24958.908545454546,1,54,0.01818181818181818,0.018518518518518517,Fear,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,Extreme Fear,20,9482.221441,45,36,2985.797555555556,36,9,0.8,4.0,Fear,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,33,533974.662903,641,540,8371.136099843994,540,101,0.8424336973478939,5.346534653465347,Fear,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,Neutral,45,40200.0,5,4,79640.0,4,1,0.8,4.0,Neutral,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,43,307855.80341,31,31,21491.640322580646,31,0,1.0,10.0,Fear,Whale
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Extreme Greed,84,11715.94323,55,46,2469.9509090909087,8,47,0.8363636363636363,0.1702127659574468,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,Extreme Greed,81,0.0,1,0,0.06,0,1,0.0,0.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,Greed,72,0.0,34,0,1426.8700000000001,34,0,0.0,10.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,Extreme Greed,75,3515.031065,26,25,2001.101153846154,0,26,0.9615384615384616,0.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,Extreme Greed,78,0.0,46,0,1131.888695652174,46,0,0.0,10.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,Extreme Greed,78,2517.787385,64,63,852.88625,0,64,0.984375,0.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,Extreme Greed,81,1613.165903,59,15,1913.523898305085,44,15,0.2542372881355932,2.933333333333333,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,Extreme Greed,75,0.0,1,0,0.11,0,1,0.0,0.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,Greed,74,1245.51851,34,21,10051.199411764705,13,21,0.6176470588235294,0.6190476190476191,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,Greed,61,0.0,13,0,2845.9646153846156,13,0,0.0,10.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,Extreme Greed,75,4493.232479,17,17,2440.6282352941175,0,17,1.0,0.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,Extreme Greed,77,1047.030992,39,28,2154.3915384615384,10,29,0.717948717948718,0.3448275862068966,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,Extreme Greed,77,4842.054317,124,80,2194.294758064516,43,81,0.6451612903225806,0.5308641975308642,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,Extreme Greed,75,1693.493165,339,198,1737.369557522124,141,198,0.584070796460177,0.7121212121212122,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,Extreme Greed,75,4221.156399,54,4,2398.331666666667,50,4,0.07407407407407407,12.5,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,Greed,71,0.0,44,0,1519.465681818182,44,0,0.0,10.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,Greed,72,6899.2458320000005,56,56,1317.0667857142857,0,56,1.0,0.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,Greed,72,0.0,46,0,1602.9452173913044,46,0,0.0,10.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,Greed,70,7372.485101,55,55,1474.6896363636365,0,55,1.0,0.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,Greed,68,1162.002541,78,25,2094.719358974359,53,25,0.32051282051282054,2.12,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,Greed,60,6352.452613,517,233,2792.42166344294,270,247,0.4506769825918762,1.0931174089068827,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,Neutral,47,-12346.990829,124,0,612.1092741935485,0,124,0.0,0.0,Neutral,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,Neutral,46,355.5854,159,127,2687.4032704402516,31,128,0.7987421383647799,0.2421875,Neutral,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,Neutral,49,1129.8489260000001,160,52,1641.2224999999999,108,52,0.325,2.076923076923077,Neutral,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,Fear,25,-6820.76955,1,0,82910.81,0,1,0.0,0.0,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,Extreme Fear,16,0.0,52,0,1462.824423076923,52,0,0.0,10.0,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,Fear,33,2480.902379,110,50,1999.099181818182,60,50,0.45454545454545453,1.2,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,Extreme Fear,15,-3169.3554679999997,65,0,1756.5103076923076,55,10,0.0,5.5,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,Fear,34,0.0,37,0,1499.4978378378378,37,0,0.0,10.0,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,Fear,28,2099.019688,47,47,1225.1170212765958,0,47,1.0,0.0,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,Fear,27,656.540742,65,57,2676.518153846154,8,57,0.8769230769230769,0.14035087719298245,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,Extreme Fear,20,-1065.797583,53,51,3326.2756603773582,1,52,0.9622641509433962,0.019230769230769232,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,Fear,34,1591.753271,53,52,2184.328113207547,1,52,0.9811320754716981,0.019230769230769232,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,Neutral,45,-2315.377191,27,0,4259.311481481482,17,10,0.0,1.7,Neutral,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,Fear,44,0.0,42,0,1460.115,42,0,0.0,10.0,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,Fear,26,-5018.466447,97,0,580.479381443299,0,97,0.0,0.0,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,Fear,34,716.143949,155,83,730.8744516129032,72,83,0.535483870967742,0.8674698795180723,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,Fear,25,0.0,1,0,54768.6,1,0,0.0,10.0,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,Fear,38,0.0,1,0,16.37,1,0,0.0,10.0,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,Fear,29,-95.985744,88,1,780.4484090909092,0,88,0.011363636363636364,0.0,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,Fear,30,-133.41237,125,20,730.92608,60,65,0.16,0.9230769230769231,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,Fear,33,951.934443,689,301,766.7829027576198,312,377,0.43686502177068215,0.8275862068965517,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,Fear,32,371.503,411,297,552.0850851581508,122,289,0.7226277372262774,0.42214532871972316,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,Fear,37,-1892.58947,603,249,963.6022222222223,297,306,0.4129353233830846,0.9705882352941176,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,Fear,39,3434.689308,97,97,887.6931958762888,0,97,1.0,0.0,Fear,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,Greed,72,2654.14315,568,336,2593.2515492957746,219,349,0.5915492957746479,0.6275071633237822,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,Greed,63,1867.252909,680,333,1679.7829852941175,346,334,0.48970588235294116,1.035928143712575,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,Greed,60,1969.39321,330,40,3782.839757575757,162,168,0.12121212121212122,0.9642857142857143,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,Greed,65,-4648.8710550000005,338,0,284.5678402366864,0,338,0.0,0.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,Greed,61,0.0,67,0,1435.3307462686569,67,0,0.0,10.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,Greed,56,5179.772745,83,83,1221.0467469879518,0,83,1.0,0.0,Greed,Frequent Retail
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,Neutral,53,1243.853569,250,81,815.50576,169,81,0.324,2.0864197530864197,Neutral,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,Neutral,52,-1.0,5,0,6070.2,2,3,0.0,0.6666666666666666,Neutral,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,Extreme Greed,78,1584.342755,1,1,1584.35,0,1,1.0,0.0,Greed,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,Extreme Greed,84,208.81746,4,3,39530.9875,3,1,0.75,3.0,Greed,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,Extreme Fear,18,16706.884912,797,300,6131.710464240904,275,522,0.37641154328732745,0.5268199233716475,Fear,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,Fear,39,13264.043303999999,339,189,21898.95651917404,231,108,0.5575221238938053,2.138888888888889,Fear,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,Fear,32,5942.547242,313,40,8678.024504792333,40,273,0.12779552715654952,0.14652014652014653,Fear,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,Fear,37,8277.307357,863,424,3079.8473348783314,418,445,0.49130938586326767,0.9393258426966292,Fear,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,Fear,39,2638.012587,353,61,1965.9329745042492,61,292,0.17280453257790368,0.2089041095890411,Fear,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,Neutral,47,-19037.340561,594,0,8110.89095959596,233,361,0.0,0.6454293628808865,Neutral,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,Greed,72,-108176.9187,469,66,20030.785479744136,236,233,0.14072494669509594,1.0128755364806867,Greed,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,Greed,63,8157.112326,70,66,15603.565285714287,67,3,0.9428571428571428,22.333333333333332,Greed,Frequent Retail
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,Greed,60,0.0,1,0,0.17,0,1,0.0,0.0,Greed,Frequent Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,Extreme Greed,86,159.100072,93,16,373.7049462365591,49,44,0.17204301075268819,1.1136363636363635,Greed,Frequent Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,Extreme Greed,90,161.289904,95,34,353.5228421052631,45,50,0.35789473684210527,0.9,Greed,Frequent Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,Extreme Greed,83,147.410285,162,67,666.941975308642,71,91,0.41358024691358025,0.7802197802197802,Greed,Frequent Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,Extreme Greed,90,233.36546,213,104,895.9638028169014,115,98,0.48826291079812206,1.1734693877551021,Greed,Frequent Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,Extreme Greed,83,-316.245208,407,141,2149.553218673219,188,219,0.3464373464373464,0.8584474885844748,Greed,Frequent Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,Extreme Greed,82,780.001314,446,156,729.007130044843,223,223,0.34977578475336324,1.0,Greed,Frequent Retail
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,Extreme Greed,94,141.21958999999998,433,135,422.0099076212471,208,225,0.3117782909930716,0.9244444444444444,Greed,Frequent Retail
